,Mês,Identificação,Nome do Produto,Un,Quantidade,Custo Unitário,Custo Total,Valor Unitário,Valor Total,Margem
310,Fevereiro,295,PUNHO M/M 98% ALG 2% ELAST - AZUL ROYAL,KG,0.2,25.6,5.12,50.95,10.19,49.75
311,Fevereiro,282,PUNHO M/M 98% ALG 2% ELAST - BRANCO,KG,2.3,25.5304,58.72,49.04,112.8,47.94
312,Fevereiro,1225,PUNHO M/M 98% ALG 2% ELAST - PRETO,KG,5.3,28.8226,152.76,50.24,266.26,42.63
313,Fevereiro,1554,PUNHO PV RETILINEO - MESCLA,PC,3374.0,0.54,1821.96,2.3,7760.7,76.52
314,Fevereiro,1293,RIBANA PV 65%P / 35%V - AMARELO CANARIO,KG,19.52,26.1793,511.02,47.69,930.89,45.1
315,Fevereiro,1098,RIBANA PV 65%P / 35%V - AMARELO OURO,KG,12.37,27.8132,344.05,47.14,583.09,41.0
316,Fevereiro,122,RIBANA PV 65%P / 35%V - AZUL MARINHO,KG,114.97,28.7542,3305.88,47.71,5485.5,39.73
317,Fevereiro,1298,RIBANA PV 65%P / 35%V - AZUL MOTORISTA,KG,18.64,27.2811,508.52,47.67,888.51,42.77
318,Fevereiro,120,RIBANA PV 65%P / 35%V - AZUL ROYAL,KG,96.75,28.9991,2805.67,47.71,4616.26,39.22
319,Fevereiro,1630,RIBANA PV 65%P / 35%V - BEGE AREIA,KG,1.07,26.0654,27.89,49.93,53.42,47.79
320,Fevereiro,114,RIBANA PV 65%P / 35%V - BRANCO,KG,97.02,25.9159,2514.37,47.98,4654.73,45.98
321,Fevereiro,1595,RIBANA PV 65%P / 35%V - CAQUI,KG,12.3,26.3894,324.59,47.0,578.1,43.85
322,Fevereiro,1593,RIBANA PV 65%P / 35%V - CELESTE,KG,3.465,26.9639,93.43,49.13,170.23,45.12
323,Fevereiro,1507,RIBANA PV 65%P / 35%V - CINZA CHUMBO,KG,14.68,28.6069,419.95,47.15,692.1,39.32
324,Fevereiro,1408,RIBANA PV 65%P / 35%V - CINZA PRATA,KG,1.15,26.8,30.82,47.58,54.72,43.68
325,Fevereiro,123,RIBANA PV 65%P / 35%V - CZ FORTE,KG,12.2,28.5,347.7,45.0,549.0,36.67
326,Fevereiro,1591,RIBANA PV 65%P / 35%V - ESMERALDA,KG,0.22,28.8181,6.34,45.0,9.9,35.96
327,Fevereiro,1498,RIBANA PV 65%P / 35%V - FERRARI,KG,38.04,28.8433,1097.2,47.88,1821.51,39.76
328,Fevereiro,1586,RIBANA PV 65%P / 35%V - GRAFITE,KG,8.27,29.7908,246.37,48.41,400.38,38.47
329,Fevereiro,1499,RIBANA PV 65%P / 35%V - JADE,KG,14.05,28.8291,405.05,46.57,654.34,38.1
